region,arbetskraftstillhörighet,kön,tabellinnehåll,kvartal,DATA
Stockholms län,arbetslösa,män,1000-tal,2008K1,28.6
Stockholms län,arbetslösa,män,1000-tal,2008K2,30.7
Stockholms län,arbetslösa,män,1000-tal,2008K3,28.2
Stockholms län,arbetslösa,män,1000-tal,2008K4,28.3
Stockholms län,arbetslösa,män,1000-tal,2009K1,35.6
Stockholms län,arbetslösa,män,1000-tal,2009K2,47.4
Stockholms län,arbetslösa,män,1000-tal,2009K3,40.5
Stockholms län,arbetslösa,män,1000-tal,2009K4,37.9
Stockholms län,arbetslösa,män,1000-tal,2010K1,41.0
Stockholms län,arbetslösa,män,1000-tal,2010K2,46.1
Stockholms län,arbetslösa,män,1000-tal,2010K3,39.1
Stockholms län,arbetslösa,män,1000-tal,2010K4,37.8
Stockholms län,arbetslösa,män,1000-tal,2011K1,41.0
Stockholms län,arbetslösa,män,1000-tal,2011K2,44.3
Stockholms län,arbetslösa,män,1000-tal,2011K3,36.5
Stockholms län,arbetslösa,män,1000-tal,2011K4,33.6
Stockholms län,arbetslösa,män,1000-tal,2012K1,38.6
Stockholms län,arbetslösa,män,1000-tal,2012K2,46.2
Stockholms län,arbetslösa,män,1000-tal,2012K3,41.4
Stockholms län,arbetslösa,män,1000-tal,2012K4,42.1
Stockholms län,arbetslösa,män,1000-tal,2013K1,44.1
Stockholms län,arbetslösa,män,1000-tal,2013K2,48.5
Stockholms län,arbetslösa,män,1000-tal,2013K3,39.4
Stockholms län,arbetslösa,män,1000-tal,2013K4,39.9
Stockholms län,arbetslösa,män,1000-tal,2014K1,49.1
Stockholms län,arbetslösa,män,1000-tal,2014K2,50.3
Stockholms län,arbetslösa,män,1000-tal,2014K3,42.9
Stockholms län,arbetslösa,män,1000-tal,2014K4,38.2
Stockholms län,arbetslösa,män,1000-tal,2015K1,47.1
Stockholms län,arbetslösa,män,1000-tal,2015K2,46.9
Stockholms län,arbetslösa,män,1000-tal,2015K3,45.3
Stockholms län,arbetslösa,män,1000-tal,2015K4,38.7
Stockholms län,arbetslösa,män,1000-tal,2016K1,47.4
Stockholms län,arbetslösa,män,1000-tal,2016K2,44.1
Stockholms län,arbetslösa,män,1000-tal,2016K3,39.5
Stockholms län,arbetslösa,män,1000-tal,2016K4,34.2
Stockholms län,arbetslösa,män,1000-tal,2017K1,42.2
Stockholms län,arbetslösa,män,1000-tal,2017K2,45.5
Stockholms län,arbetslösa,män,1000-tal,2017K3,40.4
Stockholms län,arbetslösa,män,1000-tal,2017K4,40.0
Stockholms län,arbetslösa,män,1000-tal,2018K1,41.1
Stockholms län,arbetslösa,män,1000-tal,2018K2,43.1
Stockholms län,arbetslösa,män,1000-tal,2018K3,37.0
Stockholms län,arbetslösa,män,1000-tal,2018K4,38.9
Stockholms län,arbetslösa,män,1000-tal,2019K1,42.6
Stockholms län,arbetslösa,män,1000-tal,2019K2,44.5
Stockholms län,arbetslösa,män,1000-tal,2019K3,46.9
Stockholms län,arbetslösa,män,1000-tal,2019K4,41.3
Stockholms län,arbetslösa,män,1000-tal,2020K1,51.2
Stockholms län,arbetslösa,män,1000-tal,2020K2,61.1
Stockholms län,arbetslösa,män,1000-tal,2020K3,54.4
Stockholms län,arbetslösa,män,1000-tal,2020K4,53.5
Stockholms län,arbetslösa,män,1000-tal,2021K1,60.0
Stockholms län,arbetslösa,män,1000-tal,2021K2,70.7
Stockholms län,arbetslösa,män,1000-tal,2021K3,56.7
Stockholms län,arbetslösa,män,1000-tal,2021K4,48.4
Stockholms län,arbetslösa,män,1000-tal,2022K1,53.3
Stockholms län,arbetslösa,män,1000-tal,2022K2,55.7
Stockholms län,arbetslösa,män,1000-tal,2022K3,44.1
Stockholms län,arbetslösa,män,1000-tal,2022K4,42.7
Stockholms län,arbetslösa,män,1000-tal,2023K1,46.5
Stockholms län,arbetslösa,män,1000-tal,2023K2,53.9
Stockholms län,arbetslösa,män,1000-tal,2023K3,38.6
Stockholms län,arbetslösa,män,1000-tal,2023K4,49.5
Stockholms län,arbetslösa,män,1000-tal,2024K1,65.1
Stockholms län,arbetslösa,män,1000-tal,2024K2,58.7
Stockholms län,arbetslösa,män,1000-tal,2024K3,59.4
Stockholms län,arbetslösa,män,1000-tal,2024K4,55.2
Stockholms län,arbetslösa,kvinnor,1000-tal,2008K1,28.6
Stockholms län,arbetslösa,kvinnor,1000-tal,2008K2,27.0
Stockholms län,arbetslösa,kvinnor,1000-tal,2008K3,28.7
Stockholms län,arbetslösa,kvinnor,1000-tal,2008K4,29.7
Stockholms län,arbetslösa,kvinnor,1000-tal,2009K1,34.5
Stockholms län,arbetslösa,kvinnor,1000-tal,2009K2,37.8
Stockholms län,arbetslösa,kvinnor,1000-tal,2009K3,37.1
Stockholms län,arbetslösa,kvinnor,1000-tal,2009K4,34.9
Stockholms län,arbetslösa,kvinnor,1000-tal,2010K1,42.6
Stockholms län,arbetslösa,kvinnor,1000-tal,2010K2,45.2
Stockholms län,arbetslösa,kvinnor,1000-tal,2010K3,41.8
Stockholms län,arbetslösa,kvinnor,1000-tal,2010K4,37.8
Stockholms län,arbetslösa,kvinnor,1000-tal,2011K1,38.4
Stockholms län,arbetslösa,kvinnor,1000-tal,2011K2,41.1
Stockholms län,arbetslösa,kvinnor,1000-tal,2011K3,37.9
Stockholms län,arbetslösa,kvinnor,1000-tal,2011K4,36.6
Stockholms län,arbetslösa,kvinnor,1000-tal,2012K1,37.5
Stockholms län,arbetslösa,kvinnor,1000-tal,2012K2,42.5
Stockholms län,arbetslösa,kvinnor,1000-tal,2012K3,41.1
Stockholms län,arbetslösa,kvinnor,1000-tal,2012K4,38.3
Stockholms län,arbetslösa,kvinnor,1000-tal,2013K1,42.4
Stockholms län,arbetslösa,kvinnor,1000-tal,2013K2,44.8
Stockholms län,arbetslösa,kvinnor,1000-tal,2013K3,42.6
Stockholms län,arbetslösa,kvinnor,1000-tal,2013K4,35.5
Stockholms län,arbetslösa,kvinnor,1000-tal,2014K1,45.5
Stockholms län,arbetslösa,kvinnor,1000-tal,2014K2,46.9
Stockholms län,arbetslösa,kvinnor,1000-tal,2014K3,40.7
Stockholms län,arbetslösa,kvinnor,1000-tal,2014K4,42.6
Stockholms län,arbetslösa,kvinnor,1000-tal,2015K1,50.5
Stockholms län,arbetslösa,kvinnor,1000-tal,2015K2,51.3
Stockholms län,arbetslösa,kvinnor,1000-tal,2015K3,43.5
Stockholms län,arbetslösa,kvinnor,1000-tal,2015K4,38.2
Stockholms län,arbetslösa,kvinnor,1000-tal,2016K1,42.8
Stockholms län,arbetslösa,kvinnor,1000-tal,2016K2,41.9
Stockholms län,arbetslösa,kvinnor,1000-tal,2016K3,43.3
Stockholms län,arbetslösa,kvinnor,1000-tal,2016K4,41.9
Stockholms län,arbetslösa,kvinnor,1000-tal,2017K1,45.4
Stockholms län,arbetslösa,kvinnor,1000-tal,2017K2,45.0
Stockholms län,arbetslösa,kvinnor,1000-tal,2017K3,42.0
Stockholms län,arbetslösa,kvinnor,1000-tal,2017K4,36.6
Stockholms län,arbetslösa,kvinnor,1000-tal,2018K1,38.2
Stockholms län,arbetslösa,kvinnor,1000-tal,2018K2,38.0
Stockholms län,arbetslösa,kvinnor,1000-tal,2018K3,31.5
Stockholms län,arbetslösa,kvinnor,1000-tal,2018K4,34.0
Stockholms län,arbetslösa,kvinnor,1000-tal,2019K1,36.8
Stockholms län,arbetslösa,kvinnor,1000-tal,2019K2,40.2
Stockholms län,arbetslösa,kvinnor,1000-tal,2019K3,45.2
Stockholms län,arbetslösa,kvinnor,1000-tal,2019K4,38.4
Stockholms län,arbetslösa,kvinnor,1000-tal,2020K1,42.3
Stockholms län,arbetslösa,kvinnor,1000-tal,2020K2,53.5
Stockholms län,arbetslösa,kvinnor,1000-tal,2020K3,60.4
Stockholms län,arbetslösa,kvinnor,1000-tal,2020K4,57.0
Stockholms län,arbetslösa,kvinnor,1000-tal,2021K1,64.9
Stockholms län,arbetslösa,kvinnor,1000-tal,2021K2,62.4
Stockholms län,arbetslösa,kvinnor,1000-tal,2021K3,51.9
Stockholms län,arbetslösa,kvinnor,1000-tal,2021K4,44.8
Stockholms län,arbetslösa,kvinnor,1000-tal,2022K1,55.8
Stockholms län,arbetslösa,kvinnor,1000-tal,2022K2,52.7
Stockholms län,arbetslösa,kvinnor,1000-tal,2022K3,39.8
Stockholms län,arbetslösa,kvinnor,1000-tal,2022K4,51.5
Stockholms län,arbetslösa,kvinnor,1000-tal,2023K1,45.7
Stockholms län,arbetslösa,kvinnor,1000-tal,2023K2,53.7
Stockholms län,arbetslösa,kvinnor,1000-tal,2023K3,57.6
Stockholms län,arbetslösa,kvinnor,1000-tal,2023K4,48.1
Stockholms län,arbetslösa,kvinnor,1000-tal,2024K1,53.3
Stockholms län,arbetslösa,kvinnor,1000-tal,2024K2,57.1
Stockholms län,arbetslösa,kvinnor,1000-tal,2024K3,64.4
Stockholms län,arbetslösa,kvinnor,1000-tal,2024K4,60.9
Stockholms län,arbetslösa,totalt,1000-tal,2008K1,57.2
Stockholms län,arbetslösa,totalt,1000-tal,2008K2,57.6
Stockholms län,arbetslösa,totalt,1000-tal,2008K3,56.8
Stockholms län,arbetslösa,totalt,1000-tal,2008K4,58.0
Stockholms län,arbetslösa,totalt,1000-tal,2009K1,70.1
Stockholms län,arbetslösa,totalt,1000-tal,2009K2,85.2
Stockholms län,arbetslösa,totalt,1000-tal,2009K3,77.7
Stockholms län,arbetslösa,totalt,1000-tal,2009K4,72.7
Stockholms län,arbetslösa,totalt,1000-tal,2010K1,83.5
Stockholms län,arbetslösa,totalt,1000-tal,2010K2,91.3
Stockholms län,arbetslösa,totalt,1000-tal,2010K3,80.9
Stockholms län,arbetslösa,totalt,1000-tal,2010K4,75.6
Stockholms län,arbetslösa,totalt,1000-tal,2011K1,79.3
Stockholms län,arbetslösa,totalt,1000-tal,2011K2,85.4
Stockholms län,arbetslösa,totalt,1000-tal,2011K3,74.4
Stockholms län,arbetslösa,totalt,1000-tal,2011K4,70.1
Stockholms län,arbetslösa,totalt,1000-tal,2012K1,76.1
Stockholms län,arbetslösa,totalt,1000-tal,2012K2,88.7
Stockholms län,arbetslösa,totalt,1000-tal,2012K3,82.4
Stockholms län,arbetslösa,totalt,1000-tal,2012K4,80.4
Stockholms län,arbetslösa,totalt,1000-tal,2013K1,86.5
Stockholms län,arbetslösa,totalt,1000-tal,2013K2,93.3
Stockholms län,arbetslösa,totalt,1000-tal,2013K3,81.9
Stockholms län,arbetslösa,totalt,1000-tal,2013K4,75.4
Stockholms län,arbetslösa,totalt,1000-tal,2014K1,94.5
Stockholms län,arbetslösa,totalt,1000-tal,2014K2,97.1
Stockholms län,arbetslösa,totalt,1000-tal,2014K3,83.6
Stockholms län,arbetslösa,totalt,1000-tal,2014K4,80.8
Stockholms län,arbetslösa,totalt,1000-tal,2015K1,97.6
Stockholms län,arbetslösa,totalt,1000-tal,2015K2,98.2
Stockholms län,arbetslösa,totalt,1000-tal,2015K3,88.8
Stockholms län,arbetslösa,totalt,1000-tal,2015K4,76.9
Stockholms län,arbetslösa,totalt,1000-tal,2016K1,90.2
Stockholms län,arbetslösa,totalt,1000-tal,2016K2,86.0
Stockholms län,arbetslösa,totalt,1000-tal,2016K3,82.8
Stockholms län,arbetslösa,totalt,1000-tal,2016K4,76.1
Stockholms län,arbetslösa,totalt,1000-tal,2017K1,87.5
Stockholms län,arbetslösa,totalt,1000-tal,2017K2,90.4
Stockholms län,arbetslösa,totalt,1000-tal,2017K3,82.4
Stockholms län,arbetslösa,totalt,1000-tal,2017K4,76.6
Stockholms län,arbetslösa,totalt,1000-tal,2018K1,79.2
Stockholms län,arbetslösa,totalt,1000-tal,2018K2,81.1
Stockholms län,arbetslösa,totalt,1000-tal,2018K3,68.5
Stockholms län,arbetslösa,totalt,1000-tal,2018K4,72.9
Stockholms län,arbetslösa,totalt,1000-tal,2019K1,79.4
Stockholms län,arbetslösa,totalt,1000-tal,2019K2,84.8
Stockholms län,arbetslösa,totalt,1000-tal,2019K3,92.0
Stockholms län,arbetslösa,totalt,1000-tal,2019K4,79.7
Stockholms län,arbetslösa,totalt,1000-tal,2020K1,93.6
Stockholms län,arbetslösa,totalt,1000-tal,2020K2,114.6
Stockholms län,arbetslösa,totalt,1000-tal,2020K3,114.8
Stockholms län,arbetslösa,totalt,1000-tal,2020K4,110.5
Stockholms län,arbetslösa,totalt,1000-tal,2021K1,125.0
Stockholms län,arbetslösa,totalt,1000-tal,2021K2,133.1
Stockholms län,arbetslösa,totalt,1000-tal,2021K3,108.6
Stockholms län,arbetslösa,totalt,1000-tal,2021K4,93.1
Stockholms län,arbetslösa,totalt,1000-tal,2022K1,109.1
Stockholms län,arbetslösa,totalt,1000-tal,2022K2,108.4
Stockholms län,arbetslösa,totalt,1000-tal,2022K3,83.9
Stockholms län,arbetslösa,totalt,1000-tal,2022K4,94.2
Stockholms län,arbetslösa,totalt,1000-tal,2023K1,92.2
Stockholms län,arbetslösa,totalt,1000-tal,2023K2,107.6
Stockholms län,arbetslösa,totalt,1000-tal,2023K3,96.2
Stockholms län,arbetslösa,totalt,1000-tal,2023K4,97.5
Stockholms län,arbetslösa,totalt,1000-tal,2024K1,118.4
Stockholms län,arbetslösa,totalt,1000-tal,2024K2,115.8
Stockholms län,arbetslösa,totalt,1000-tal,2024K3,123.7
Stockholms län,arbetslösa,totalt,1000-tal,2024K4,116.1
Uppsala län,arbetslösa,män,1000-tal,2008K1,4.2
Uppsala län,arbetslösa,män,1000-tal,2008K2,6.5
Uppsala län,arbetslösa,män,1000-tal,2008K3,4.9
Uppsala län,arbetslösa,män,1000-tal,2008K4,4.8
Uppsala län,arbetslösa,män,1000-tal,2009K1,5.8
Uppsala län,arbetslösa,män,1000-tal,2009K2,7.5
Uppsala län,arbetslösa,män,1000-tal,2009K3,5.6
Uppsala län,arbetslösa,män,1000-tal,2009K4,5.4
Uppsala län,arbetslösa,män,1000-tal,2010K1,6.8
Uppsala län,arbetslösa,män,1000-tal,2010K2,9.0
Uppsala län,arbetslösa,män,1000-tal,2010K3,8.3
Uppsala län,arbetslösa,män,1000-tal,2010K4,6.4
Uppsala län,arbetslösa,män,1000-tal,2011K1,5.8
Uppsala län,arbetslösa,män,1000-tal,2011K2,8.3
Uppsala län,arbetslösa,män,1000-tal,2011K3,5.5
Uppsala län,arbetslösa,män,1000-tal,2011K4,4.0
Uppsala län,arbetslösa,män,1000-tal,2012K1,6.0
Uppsala län,arbetslösa,män,1000-tal,2012K2,6.2
Uppsala län,arbetslösa,män,1000-tal,2012K3,6.0
Uppsala län,arbetslösa,män,1000-tal,2012K4,5.1
Uppsala län,arbetslösa,män,1000-tal,2013K1,7.2
Uppsala län,arbetslösa,män,1000-tal,2013K2,5.4
Uppsala län,arbetslösa,män,1000-tal,2013K3,5.9
Uppsala län,arbetslösa,män,1000-tal,2013K4,5.9
Uppsala län,arbetslösa,män,1000-tal,2014K1,7.2
Uppsala län,arbetslösa,män,1000-tal,2014K2,9.0
Uppsala län,arbetslösa,män,1000-tal,2014K3,6.2
Uppsala län,arbetslösa,män,1000-tal,2014K4,6.9
Uppsala län,arbetslösa,män,1000-tal,2015K1,6.2
Uppsala län,arbetslösa,män,1000-tal,2015K2,6.4
Uppsala län,arbetslösa,män,1000-tal,2015K3,6.5
Uppsala län,arbetslösa,män,1000-tal,2015K4,6.8
Uppsala län,arbetslösa,män,1000-tal,2016K1,6.8
Uppsala län,arbetslösa,män,1000-tal,2016K2,4.6
Uppsala län,arbetslösa,män,1000-tal,2016K3,5.6
Uppsala län,arbetslösa,män,1000-tal,2016K4,3.8
Uppsala län,arbetslösa,män,1000-tal,2017K1,5.6
Uppsala län,arbetslösa,män,1000-tal,2017K2,6.5
Uppsala län,arbetslösa,män,1000-tal,2017K3,5.3
Uppsala län,arbetslösa,män,1000-tal,2017K4,3.8
Uppsala län,arbetslösa,män,1000-tal,2018K1,4.3
Uppsala län,arbetslösa,män,1000-tal,2018K2,4.2
Uppsala län,arbetslösa,män,1000-tal,2018K3,
Uppsala län,arbetslösa,män,1000-tal,2018K4,
Uppsala län,arbetslösa,män,1000-tal,2019K1,6.9
Uppsala län,arbetslösa,män,1000-tal,2019K2,
Uppsala län,arbetslösa,män,1000-tal,2019K3,
Uppsala län,arbetslösa,män,1000-tal,2019K4,8.1
Uppsala län,arbetslösa,män,1000-tal,2020K1,9.8
Uppsala län,arbetslösa,män,1000-tal,2020K2,12.5
Uppsala län,arbetslösa,män,1000-tal,2020K3,11.2
Uppsala län,arbetslösa,män,1000-tal,2020K4,9.0
Uppsala län,arbetslösa,män,1000-tal,2021K1,8.3
Uppsala län,arbetslösa,män,1000-tal,2021K2,11.2
Uppsala län,arbetslösa,män,1000-tal,2021K3,9.7
Uppsala län,arbetslösa,män,1000-tal,2021K4,10.8
Uppsala län,arbetslösa,män,1000-tal,2022K1,9.3
Uppsala län,arbetslösa,män,1000-tal,2022K2,11.6
Uppsala län,arbetslösa,män,1000-tal,2022K3,8.4
Uppsala län,arbetslösa,män,1000-tal,2022K4,
Uppsala län,arbetslösa,män,1000-tal,2023K1,11.4
Uppsala län,arbetslösa,män,1000-tal,2023K2,13.2
Uppsala län,arbetslösa,män,1000-tal,2023K3,10.1
Uppsala län,arbetslösa,män,1000-tal,2023K4,10.6
Uppsala län,arbetslösa,män,1000-tal,2024K1,13.5
Uppsala län,arbetslösa,män,1000-tal,2024K2,12.0
Uppsala län,arbetslösa,män,1000-tal,2024K3,13.6
Uppsala län,arbetslösa,män,1000-tal,2024K4,10.1
Uppsala län,arbetslösa,kvinnor,1000-tal,2008K1,9.9
Uppsala län,arbetslösa,kvinnor,1000-tal,2008K2,8.2
Uppsala län,arbetslösa,kvinnor,1000-tal,2008K3,5.9
Uppsala län,arbetslösa,kvinnor,1000-tal,2008K4,6.4
Uppsala län,arbetslösa,kvinnor,1000-tal,2009K1,7.3
Uppsala län,arbetslösa,kvinnor,1000-tal,2009K2,8.0
Uppsala län,arbetslösa,kvinnor,1000-tal,2009K3,7.0
Uppsala län,arbetslösa,kvinnor,1000-tal,2009K4,7.1
Uppsala län,arbetslösa,kvinnor,1000-tal,2010K1,7.8
Uppsala län,arbetslösa,kvinnor,1000-tal,2010K2,7.9
Uppsala län,arbetslösa,kvinnor,1000-tal,2010K3,6.5
Uppsala län,arbetslösa,kvinnor,1000-tal,2010K4,6.6
Uppsala län,arbetslösa,kvinnor,1000-tal,2011K1,7.1
Uppsala län,arbetslösa,kvinnor,1000-tal,2011K2,5.6
Uppsala län,arbetslösa,kvinnor,1000-tal,2011K3,5.6
Uppsala län,arbetslösa,kvinnor,1000-tal,2011K4,2.9
Uppsala län,arbetslösa,kvinnor,1000-tal,2012K1,5.8
Uppsala län,arbetslösa,kvinnor,1000-tal,2012K2,6.7
Uppsala län,arbetslösa,kvinnor,1000-tal,2012K3,5.5
Uppsala län,arbetslösa,kvinnor,1000-tal,2012K4,5.3
Uppsala län,arbetslösa,kvinnor,1000-tal,2013K1,5.5
Uppsala län,arbetslösa,kvinnor,1000-tal,2013K2,6.2
Uppsala län,arbetslösa,kvinnor,1000-tal,2013K3,6.5
Uppsala län,arbetslösa,kvinnor,1000-tal,2013K4,5.7
Uppsala län,arbetslösa,kvinnor,1000-tal,2014K1,5.0
Uppsala län,arbetslösa,kvinnor,1000-tal,2014K2,6.2
Uppsala län,arbetslösa,kvinnor,1000-tal,2014K3,3.9
Uppsala län,arbetslösa,kvinnor,1000-tal,2014K4,4.4
Uppsala län,arbetslösa,kvinnor,1000-tal,2015K1,5.0
Uppsala län,arbetslösa,kvinnor,1000-tal,2015K2,7.5
Uppsala län,arbetslösa,kvinnor,1000-tal,2015K3,6.0
Uppsala län,arbetslösa,kvinnor,1000-tal,2015K4,6.0
Uppsala län,arbetslösa,kvinnor,1000-tal,2016K1,7.2
Uppsala län,arbetslösa,kvinnor,1000-tal,2016K2,6.5
Uppsala län,arbetslösa,kvinnor,1000-tal,2016K3,6.4
Uppsala län,arbetslösa,kvinnor,1000-tal,2016K4,5.7
Uppsala län,arbetslösa,kvinnor,1000-tal,2017K1,5.3
Uppsala län,arbetslösa,kvinnor,1000-tal,2017K2,7.6
Uppsala län,arbetslösa,kvinnor,1000-tal,2017K3,7.5
Uppsala län,arbetslösa,kvinnor,1000-tal,2017K4,6.3
Uppsala län,arbetslösa,kvinnor,1000-tal,2018K1,6.8
Uppsala län,arbetslösa,kvinnor,1000-tal,2018K2,7.4
Uppsala län,arbetslösa,kvinnor,1000-tal,2018K3,
Uppsala län,arbetslösa,kvinnor,1000-tal,2018K4,
Uppsala län,arbetslösa,kvinnor,1000-tal,2019K1,
Uppsala län,arbetslösa,kvinnor,1000-tal,2019K2,7.3
Uppsala län,arbetslösa,kvinnor,1000-tal,2019K3,6.2
Uppsala län,arbetslösa,kvinnor,1000-tal,2019K4,
Uppsala län,arbetslösa,kvinnor,1000-tal,2020K1,7.2
Uppsala län,arbetslösa,kvinnor,1000-tal,2020K2,7.8
Uppsala län,arbetslösa,kvinnor,1000-tal,2020K3,7.9
Uppsala län,arbetslösa,kvinnor,1000-tal,2020K4,7.3
Uppsala län,arbetslösa,kvinnor,1000-tal,2021K1,
Uppsala län,arbetslösa,kvinnor,1000-tal,2021K2,
Uppsala län,arbetslösa,kvinnor,1000-tal,2021K3,
Uppsala län,arbetslösa,kvinnor,1000-tal,2021K4,
Uppsala län,arbetslösa,kvinnor,1000-tal,2022K1,8.7
Uppsala län,arbetslösa,kvinnor,1000-tal,2022K2,10.4
Uppsala län,arbetslösa,kvinnor,1000-tal,2022K3,7.6
Uppsala län,arbetslösa,kvinnor,1000-tal,2022K4,
Uppsala län,arbetslösa,kvinnor,1000-tal,2023K1,
Uppsala län,arbetslösa,kvinnor,1000-tal,2023K2,11.7
Uppsala län,arbetslösa,kvinnor,1000-tal,2023K3,
Uppsala län,arbetslösa,kvinnor,1000-tal,2023K4,
Uppsala län,arbetslösa,kvinnor,1000-tal,2024K1,7.9
Uppsala län,arbetslösa,kvinnor,1000-tal,2024K2,10.6
Uppsala län,arbetslösa,kvinnor,1000-tal,2024K3,9.9
Uppsala län,arbetslösa,kvinnor,1000-tal,2024K4,
Uppsala län,arbetslösa,totalt,1000-tal,2008K1,14.1
Uppsala län,arbetslösa,totalt,1000-tal,2008K2,14.7
Uppsala län,arbetslösa,totalt,1000-tal,2008K3,10.9
Uppsala län,arbetslösa,totalt,1000-tal,2008K4,11.1
Uppsala län,arbetslösa,totalt,1000-tal,2009K1,13.1
Uppsala län,arbetslösa,totalt,1000-tal,2009K2,15.6
Uppsala län,arbetslösa,totalt,1000-tal,2009K3,12.7
Uppsala län,arbetslösa,totalt,1000-tal,2009K4,12.5
Uppsala län,arbetslösa,totalt,1000-tal,2010K1,14.6
Uppsala län,arbetslösa,totalt,1000-tal,2010K2,16.8
Uppsala län,arbetslösa,totalt,1000-tal,2010K3,14.7
Uppsala län,arbetslösa,totalt,1000-tal,2010K4,13.1
Uppsala län,arbetslösa,totalt,1000-tal,2011K1,12.9
Uppsala län,arbetslösa,totalt,1000-tal,2011K2,13.9
Uppsala län,arbetslösa,totalt,1000-tal,2011K3,11.1
Uppsala län,arbetslösa,totalt,1000-tal,2011K4,7.0
Uppsala län,arbetslösa,totalt,1000-tal,2012K1,11.8
Uppsala län,arbetslösa,totalt,1000-tal,2012K2,12.9
Uppsala län,arbetslösa,totalt,1000-tal,2012K3,11.5
Uppsala län,arbetslösa,totalt,1000-tal,2012K4,10.4
Uppsala län,arbetslösa,totalt,1000-tal,2013K1,12.7
Uppsala län,arbetslösa,totalt,1000-tal,2013K2,11.6
Uppsala län,arbetslösa,totalt,1000-tal,2013K3,12.4
Uppsala län,arbetslösa,totalt,1000-tal,2013K4,11.6
Uppsala län,arbetslösa,totalt,1000-tal,2014K1,12.2
Uppsala län,arbetslösa,totalt,1000-tal,2014K2,15.2
Uppsala län,arbetslösa,totalt,1000-tal,2014K3,10.1
Uppsala län,arbetslösa,totalt,1000-tal,2014K4,11.3
Uppsala län,arbetslösa,totalt,1000-tal,2015K1,11.2
Uppsala län,arbetslösa,totalt,1000-tal,2015K2,13.9
Uppsala län,arbetslösa,totalt,1000-tal,2015K3,12.5
Uppsala län,arbetslösa,totalt,1000-tal,2015K4,12.7
Uppsala län,arbetslösa,totalt,1000-tal,2016K1,14.0
Uppsala län,arbetslösa,totalt,1000-tal,2016K2,11.0
Uppsala län,arbetslösa,totalt,1000-tal,2016K3,12.0
Uppsala län,arbetslösa,totalt,1000-tal,2016K4,9.5
Uppsala län,arbetslösa,totalt,1000-tal,2017K1,10.9
Uppsala län,arbetslösa,totalt,1000-tal,2017K2,14.2
Uppsala län,arbetslösa,totalt,1000-tal,2017K3,12.8
Uppsala län,arbetslösa,totalt,1000-tal,2017K4,10.2
Uppsala län,arbetslösa,totalt,1000-tal,2018K1,11.1
Uppsala län,arbetslösa,totalt,1000-tal,2018K2,11.6
Uppsala län,arbetslösa,totalt,1000-tal,2018K3,9.2
Uppsala län,arbetslösa,totalt,1000-tal,2018K4,11.0
Uppsala län,arbetslösa,totalt,1000-tal,2019K1,11.3
Uppsala län,arbetslösa,totalt,1000-tal,2019K2,13.1
Uppsala län,arbetslösa,totalt,1000-tal,2019K3,10.9
Uppsala län,arbetslösa,totalt,1000-tal,2019K4,11.7
Uppsala län,arbetslösa,totalt,1000-tal,2020K1,17.0
Uppsala län,arbetslösa,totalt,1000-tal,2020K2,20.3
Uppsala län,arbetslösa,totalt,1000-tal,2020K3,19.1
Uppsala län,arbetslösa,totalt,1000-tal,2020K4,16.3
Uppsala län,arbetslösa,totalt,1000-tal,2021K1,15.4
Uppsala län,arbetslösa,totalt,1000-tal,2021K2,18.7
Uppsala län,arbetslösa,totalt,1000-tal,2021K3,18.6
Uppsala län,arbetslösa,totalt,1000-tal,2021K4,17.1
Uppsala län,arbetslösa,totalt,1000-tal,2022K1,18.0
Uppsala län,arbetslösa,totalt,1000-tal,2022K2,22.0
Uppsala län,arbetslösa,totalt,1000-tal,2022K3,16.0
Uppsala län,arbetslösa,totalt,1000-tal,2022K4,12.2
Uppsala län,arbetslösa,totalt,1000-tal,2023K1,18.4
Uppsala län,arbetslösa,totalt,1000-tal,2023K2,24.9
Uppsala län,arbetslösa,totalt,1000-tal,2023K3,17.3
Uppsala län,arbetslösa,totalt,1000-tal,2023K4,17.3
Uppsala län,arbetslösa,totalt,1000-tal,2024K1,21.4
Uppsala län,arbetslösa,totalt,1000-tal,2024K2,22.6
Uppsala län,arbetslösa,totalt,1000-tal,2024K3,23.5
Uppsala län,arbetslösa,totalt,1000-tal,2024K4,16.8
Södermanlands län,arbetslösa,män,1000-tal,2008K1,
Södermanlands län,arbetslösa,män,1000-tal,2008K2,3.5
Södermanlands län,arbetslösa,män,1000-tal,2008K3,4.6
Södermanlands län,arbetslösa,män,1000-tal,2008K4,4.2
Södermanlands län,arbetslösa,män,1000-tal,2009K1,4.3
Södermanlands län,arbetslösa,män,1000-tal,2009K2,6.4
Södermanlands län,arbetslösa,män,1000-tal,2009K3,7.0
Södermanlands län,arbetslösa,män,1000-tal,2009K4,7.3
Södermanlands län,arbetslösa,män,1000-tal,2010K1,6.9
Södermanlands län,arbetslösa,män,1000-tal,2010K2,7.3
Södermanlands län,arbetslösa,män,1000-tal,2010K3,7.0
Södermanlands län,arbetslösa,män,1000-tal,2010K4,5.8
Södermanlands län,arbetslösa,män,1000-tal,2011K1,6.7
Södermanlands län,arbetslösa,män,1000-tal,2011K2,5.7
Södermanlands län,arbetslösa,män,1000-tal,2011K3,6.0
Södermanlands län,arbetslösa,män,1000-tal,2011K4,6.4
Södermanlands län,arbetslösa,män,1000-tal,2012K1,7.6
